Sequence,Problem Statement
Prog. 001,"Write a function to find the minimum cost path to reach (m, n) from (0, 0) for the given cost matrix cost[][] and a position (m, n) in cost[][]."
Prog. 002,Write a function to find the similar elements from the given two tuple lists.
Prog. 003,Write a python function to identify non-prime numbers.
Prog. 004,Write a function to find the largest integers from a given list of numbers using heap queue algorithm.
Prog. 005,Write a function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.
Prog. 006,Write a python function to check whether the two numbers differ at one bit position only or not.
Prog. 007,Write a function to find all words which are at least 4 characters long in a string by using regex.
Prog. 008,Write a function to find squares of individual elements in a list using lambda function.
Prog. 009,Write a python function to find the minimum number of rotations required to get the same string.
Prog. 010,Write a function to get the n smallest items from a dataset.
Prog. 011,Write a python function to remove first and last occurrence of a given character from the string.
Prog. 012,Write a function to sort a given matrix in ascending order according to the sum of its rows.
Prog. 013,Write a function to count the most common words in a dictionary.
Prog. 014,Write a python function to find the volume of a triangular prism.
Prog. 015,Write a function to split a string at lowercase letters.
Prog. 016,Write a function to find sequences of lowercase letters joined with an underscore.
Prog. 017,Write a function to find the perimeter of a square.
Prog. 018,Write a function to remove characters from the first string which are present in the second string.
Prog. 019,Write a function to find whether a given array of integers contains any duplicate element.
Prog. 020,Write a function to check if the given number is woodball or not.
Prog. 021,Write a function to find m number of multiples of n.
Prog. 022,Write a function to find the first duplicate element in a given array of integers.
Prog. 023,Write a python function to find the maximum sum of elements of list in a list of lists.
Prog. 024,Write a function to convert the given binary number to its decimal equivalent.
Prog. 025,Write a python function to find the product of non-repeated elements in a given array.
Prog. 026,Write a function to check if the given tuple list has all k elements.
Prog. 027,Write a python function to remove all digits from a list of strings.
Prog. 028,Write a python function to find binomial co-efficient.
Prog. 029,Write a python function to find the element occurring odd number of times.
Prog. 030,Write a python function to count all the substrings starting and ending with same characters.
Prog. 031,Write a function to find the top k integers that occur most frequently from given lists of sorted and distinct integers using heap queue algorithm.
Prog. 032,Write a python function to find the largest prime factor of a given number.
Prog. 033,Write a python function to convert a decimal number to binary number.
Prog. 034,Write a python function to find the missing number in a sorted array.
Prog. 035,Write a function to find the n-th rectangular number.
Prog. 036,Write a python function to find the nth digit in the proper fraction of two given numbers.
Prog. 037,Write a function to sort a given mixed list of integers and strings.
Prog. 038,Write a function to find the division of first even and odd number of a given list.
Prog. 039,Write a function to check if the letters of a given string can be rearranged so that two characters that are adjacent to each other are different.
Prog. 040,Write a function to find frequency of the elements in a given list of lists using collections module.
Prog. 041,Write a function to filter even numbers using lambda function.
Prog. 042,Write a python function to find the sum of repeated elements in a given array.
Prog. 043,Write a function to find sequences of lowercase letters joined with an underscore using regex.
Prog. 044,Write a function that matches a word at the beginning of a string.
Prog. 045,Write a function to find the gcd of the given array elements.
Prog. 046,Write a python function to determine whether all the numbers are different from each other are not.
Prog. 047,Write a python function to find the last digit when factorial of a divides factorial of b.
Prog. 048,Write a python function to set all odd bits of a given number.
Prog. 049,Write a function to extract every first or specified element from a given two-dimensional list.
Prog. 050,Write a function to find the list with minimum length using lambda function.
Prog. 051,Write a function to print check if the triangle is equilateral or not.
